Etunimi;Lukumäärä
Juhani;289959
Olavi;146040
Antero;141262
Tapani;137334
Johannes;136646
Tapio;117087
Mikael;102175
Kalevi;99514
Matti;82987
Pekka;80416
Petteri;73336
Ilmari;71150
Sakari;65645
Matias;63218
Antti;56572
Juha;54665
Heikki;53408
Kristian;52437
Timo;49892
Kari;46131
Mikko;45928
Markus;43387
Jari;40946
Jukka;40889
Kalervo;40179
Markku;39841
Aleksi;39442
Jaakko;38872
Petri;37143
Mika;36698
Oskari;36601
Erkki;35764
Lauri;35678
Henrik;35605
Veikko;35560
Hannu;35107
Seppo;34521
Ville;33197
Ensio;30756
Ari;30261
Janne;30060
Pentti;29981
Valtteri;29828
Marko;29758
Tuomas;28111
Sami;27739
Juho;26662
Eero;26334
Martti;26091
Erik;25029
Jorma;24326
Elias;24238
Jani;24182
Samuli;23603
Jussi;22553
Harri;22395
Eemeli;22372
Risto;22107
Teemu;21764
Raimo;21621
Onni;21328
Veli;20865
Pertti;20821
Jarmo;20777
Eino;20340
Esa;20320
Esko;19819
Pasi;19420
Jouni;19342
Arto;19183
Samuel;19043
Jouko;18725
Vesa;18555
Olli;18532
Reijo;18519
Niko;18467
Kalle;18096
Joonas;18092
Paavo;18005
Toni;17596
Toivo;17244
Armas;17055
Viljami;16836
Johan;16672
Santeri;16351
Kimmo;16263
Emil;16171
Tomi;16114
Leo;15685
Henri;15511
Joni;15330
Tommi;15078
Tero;15068
Väinö;15011
Pauli;14675
Eetu;14642
Ilkka;14641
Oliver;14298
Daniel;13793
Otto;13712
Uolevi;13605
Ilari;13545
Sebastian;13529
Tuomo;12945
Alexander;12892
Aulis;12877
Jarkko;12627
Anton;12534
Jalmari;12500
Aleksanteri;12374
Eemil;12316
Jesse;12220
Joona;11831
Akseli;11023
Simo;10930
Vilho;10882
Arttu;10775
Allan;10729
Einari;10693
Keijo;10674
Jere;10658
Kullervo;10557
Juuso;10509
Lasse;10383
Kauko;10252
Reino;10236
Christian;10121
Jyrki;10052
Joel;9948
Mauri;9913
Niilo;9895
Julius;9877
Benjamin;9874
Kaarlo;9798
Niklas;9563
Leevi;9523
Aukusti;9505
Jan;9502
Kai;9178
Aarne;9163
Yrjö;9038
Aki;8890
Juhana;8799
Artturi;8756
Miika;8721
Elmeri;8588
Riku;8519
Tauno;8483
Karl;8405
Rasmus;8105
Teuvo;8102
Peter;8054
Rauno;7978
Jarno;7943
Veeti;7906
Hermanni;7891
Topias;7772
Eerik;7697
Aaro;7564
Vilhelm;7519
Ossi;7518
Arvo;7457
Joonatan;7397
Aatos;7334
Viljo;7277
Osmo;7233
Valdemar;7184
Veijo;7171
Taisto;7153
Ismo;6992
Robert;6985
Rainer;6983
Patrik;6967
Anssi;6918
Roope;6675
Henry;6673
Anders;6666
Aimo;6610
Atte;6577
Asko;6442
Eelis;6424
Henrikki;6264
Taneli;6095
Miro;6021
Aapo;5969
Edvard;5899
Aaron;5888
Samu;5846
Lassi;5737
Oiva;5682
Iisakki;5636
Ahti;5635
Mauno;5620
Oskar;5601
Kasper;5562
Tuukka;5551
Kim;5537
Verneri;5503
Kustaa;5408
Lars;5357
Aarre;5347
Vihtori;5324
Alex;5293
Andreas;5281
Rafael;5254
Topi;5154
Wilhelm;5075
Tarmo;5074
Kasperi;5068
Fredrik;5062
Alpo;5051
August;5045
Miikka;5028
Vili;4976
Albert;4923
Urho;4855
Aatu;4842
Konsta;4810
Jimi;4807
Unto;4741
Sulo;4721
Nikolai;4712
Herman;4665
Roni;4655
Ilpo;4638
Joakim;4604
Sauli;4588
Tatu;4588
Jyri;4496
Kyösti;4490
Max;4415
Michael;4395
Gunnar;4387
Gustav;4384
Kaj;4381
Carl;4324
Veikka;4306
Tom;4287
Saku;4286
Iivari;4258
Severi;4241
William;4171
Veli-Matti;4067
Heimo;4040
Rikhard;4032
Alvar;3987
Eeli;3884
Hugo;3821
Hans;3811
Iiro;3789
Martin;3715
Voitto;3699
Thomas;3687
Arvi;3683
John;3679
Jonne;3677
Rami;3674
Pietari;3661
Pellervo;3622
Axel;3578
Pyry;3559
Hannes;3526
Frans;3520
Otso;3520
Viktor;3502
Jeremias;3486
Olof;3467
Miska;3434
Lenni;3419
Sampo;3389
Harry;3384
Juha-Pekka;3373
Paul;3344
Göran;3336
Teppo;3297
Leif;3275
Jami;3268
Oscar;3254
Stefan;3226
Nico;3182
Aku;3173
Nils;3162
Gabriel;3153
Jukka-Pekka;3078
Päiviö;3019
Tony;2956
Aarno;2940
Luka;2935
Perttu;2935
Luukas;2915
Miko;2914
Paavali;2913
Aleksander;2893
Arvid;2859
Anselmi;2817
Tomas;2811
Santtu;2783
Edvin;2773
Veli-Pekka;2770
Alfred;2743
Krister;2727
Jonas;2707
Jasper;2699
Untamo;2681
Nooa;2633
Urpo;2632
Robin;2631
Nestori;2628
Richard;2627
Noel;2612
Christer;2568
Eljas;2562
Panu;2539
Terho;2533
Sven;2466
Eerikki;2466
Nuutti;2457
Klaus;2452
Marcus;2435
Viljam;2427
Lennart;2424
Mathias;2415
Magnus;2399
Waltteri;2383
Aarni;2379
Lucas;2378
Ali;2372
Jonathan;2367
Patrick;2365
Juha-Matti;2352
Eliel;2310
Bengt;2302
Olli-Pekka;2300
Eevert;2278
Kenneth;2272
Jesper;2271
Stig;2239
Kaleva;2227
Reima;2226
Aapeli;2215
Mattias;2210
Peetu;2197
Sisu;2170
Evert;2144
Teijo;2136
Ossian;2133
Lukas;2131
Alarik;2128
Mohamed;2126
Rolf;2116
Tino;2105
Einar;2049
Mats;2038
Ukko;2012
Kaapo;2006
Justus;1998
Petter;1986
Kurt;1976
Lari;1969
Antton;1940
Asser;1906
Tommy;1898
Eric;1894
Taavi;1873
Anttoni;1867
Per;1863
Tobias;1848
Håkan;1846
Taavetti;1834
Tenho;1833
Felix;1825
David;1821
Manu;1810
Karri;1796
Åke;1760
Helge;1754
Leonard;1751
Ari-Pekka;1744
Luca;1744
Valter;1741
Gustaf;1713
Elmo;1712
Bo;1711
Verner;1705
Roger;1689
Björn;1685
Erno;1682
Simon;1679
Aleksis;1678
Ralf;1678
Kaarle;1641
Jori;1628
Heino;1595
Sulevi;1590
Jonatan;1585
Touko;1577
Valentin;1547
Kosti;1542
Jerry;1528
