Sukunimi;Nimenhaltijoita yhteensä
Korhonen;22619
Virtanen;22184
Mäkinen;20315
Nieminen;20179
Mäkelä;19049
Hämäläinen;18437
Laine;18029
Heikkinen;17451
Koskinen;17236
Järvinen;16239
Lehtonen;16100
Lehtinen;15043
Saarinen;14844
Salminen;14638
Heinonen;14392
Niemi;14325
Heikkilä;14197
Kinnunen;13921
Salonen;13841
Turunen;13362
Salo;12979
Laitinen;12747
Tuominen;12492
Rantanen;12445
Karjalainen;12365
Jokinen;12189
Mattila;11972
Savolainen;11159
Lahtinen;11116
Ahonen;10858
Ojala;10727
Leppänen;10700
Väisänen;10045
Leinonen;10018
Hiltunen;10014
Miettinen;9990
Kallio;9987
Pitkänen;9895
Aaltonen;9889
Manninen;9734
Anttila;9592
Hakala;9590
Koivisto;9560
Laaksonen;9229
Räsänen;9104
Hirvonen;9070
Lehto;8991
Laakso;8930
Toivonen;8831
Rantala;8691
Mustonen;8681
Aalto;8580
Nurmi;8424
Peltonen;8420
Moilanen;8327
Niemelä;8327
Seppälä;8208
Pulkkinen;8183
Hänninen;8164
Lappalainen;7992
Partanen;7945
Saari;7930
Kettunen;7929
Kauppinen;7758
Kemppainen;7736
Koskela;7647
Seppänen;7642
Lahti;7640
Salmi;7590
Ahola;7573
Huttunen;7439
Suominen;7337
Ikonen;7333
Aho;7305
Kärkkäinen;7294
Pesonen;7238
Halonen;7160
Mikkonen;7067
Nyman;7036
Johansson;7034
Koponen;7014
Peltola;6967
Oksanen;6907
Lindholm;6896
Vainio;6879
Niskanen;6854
Heiskanen;6831
Mikkola;6727
Koski;6619
Immonen;6618
Honkanen;6617
Nurminen;6546
Vuorinen;6531
Harju;6459
Kokkonen;6408
Rissanen;6383
Määttä;6339
Karppinen;6293
Mäki;6235
Laukkanen;6106
Rajala;6070
Heino;6063
Juntunen;6054
Rautiainen;5982
Jääskeläinen;5967
Parviainen;5956
Kangas;5905
Keränen;5888
Hartikainen;5875
Paananen;5811
Leino;5762
Karlsson;5753
Mäenpää;5715
Martikainen;5646
Lindström;5643
Ruotsalainen;5638
Hakkarainen;5572
Hyvärinen;5536
Uusitalo;5504
Laurila;5490
Kokko;5473
Toivanen;5465
Tikkanen;5448
Viitanen;5423
Nevalainen;5405
Salmela;5269
Leskinen;5268
Nykänen;5246
Makkonen;5221
Häkkinen;5147
Holopainen;5124
Kuusisto;5078
Tamminen;5041
Eriksson;5026
Andersson;5012
Hietala;5006
Härkönen;4985
Korpela;4980
Ranta;4961
Kukkonen;4946
Hyvönen;4929
Jaakkola;4888
Karvonen;4885
Pasanen;4843
Jokela;4825
Karhu;4794
Tiainen;4793
Väänänen;4751
Kosonen;4731
Saarela;4694
Sillanpää;4638
Malinen;4607
Kujala;4577
Rautio;4569
Virta;4564
Lindroos;4558
Timonen;4529
Autio;4480
Lindqvist;4448
Valtonen;4447
Hokkanen;4435
Kivelä;4433
Kolehmainen;4414
Lampinen;4397
Räisänen;4395
Jussila;4357
Rinne;4348
Tolonen;4347
Nissinen;4286
Nousiainen;4251
Huhtala;4232
Eskelinen;4180
Vartiainen;4176
Koivula;4132
Laakkonen;4118
Asikainen;4097
Koistinen;4072
Lepistö;4057
Lindberg;4051
Kuusela;4039
Liimatainen;3980
Pelkonen;3960
Luoma;3953
Tolvanen;3927
Hautala;3911
Kyllönen;3901
Kulmala;3894
Tuovinen;3880
Koivunen;3853
Penttinen;3841
Helenius;3839
Pietilä;3839
Viljanen;3808
Pennanen;3804
Voutilainen;3796
Huotari;3780
Luukkonen;3780
Hietanen;3770
Riikonen;3764
Hyttinen;3759
Marttila;3757
Suhonen;3757
Pakarinen;3724
Repo;3697
Karttunen;3686
Järvenpää;3680
Takala;3680
Ketola;3671
Haavisto;3650
Kumpulainen;3649
Nuutinen;3648
Eronen;3616
Ronkainen;3600
Lindgren;3585
Eskola;3579
Saastamoinen;3567
Eklund;3558
Haapala;3555
Huovinen;3549
Myllymäki;3549
Auvinen;3548
Kainulainen;3537
Lehtimäki;3536
Penttilä;3529
Vuori;3485
Liukkonen;3475
Paavola;3456
Helin;3446
Juvonen;3436
Komulainen;3394
Keskinen;3381
Hautamäki;3379
Viitala;3364
Taskinen;3344
Ollikainen;3341
Markkanen;3326
Kivimäki;3316
Ollila;3307
Silvennoinen;3306
Lähteenmäki;3296
Suomalainen;3295
Tuomi;3294
Rintala;3269
Perälä;3262
Välimäki;3250
Sipilä;3241
Kähkönen;3237
Kuosmanen;3231
Gustafsson;3218
Halme;3208
Blomqvist;3164
Nylund;3164
Kortelainen;3153
Lehtola;3147
Tanskanen;3147
Turpeinen;3130
Matilainen;3126
Hannula;3118
Hytönen;3103
Kantola;3100
Lindfors;3080
Meriläinen;3079
Matikainen;3052
Jalonen;3020
Jansson;2991
Holm;2988
Helminen;2987
Kivistö;2964
Rytkönen;2949
Ylitalo;2945
Kanerva;2942
Varis;2942
Väyrynen;2922
Alatalo;2916
Soininen;2913
Tervo;2906
Puhakka;2894
Henriksson;2885
Erkkilä;2881
Pääkkönen;2875
Kiviniemi;2872
Ojanen;2860
Tarvainen;2860
Pajunen;2859
